"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001615272";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001604373";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613208";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001607607";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001615073";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001595981";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001713860";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001724147";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001615245";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001671993";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
